sampler,steps,rtol,nfe,wall_time_sec,mmd_20d,sliced_w2_20d,trajectory_straightness_20d
euler,5,,5,0.08267325162887573,0.01892661310740628,0.6247511724074993,0.06943713008317103
euler,10,,10,0.002324780449271202,0.015407249240595836,0.5770440623121038,0.06841738874522767
euler,20,,20,0.00444796122610569,0.014326523817944905,0.5294543999766412,0.06699700328080316
euler,50,,50,0.009301776066422462,0.013855261033510525,0.5512894245987823,0.06589085504324642
euler,100,,100,0.0186882633715868,0.013724504241067177,0.5154299771049567,0.06548280313346172
midpoint,5,,10,0.0024134796112775803,0.013720077838095203,0.5376258544307977,0.06401037766997134
midpoint,10,,20,0.003923380747437477,0.013639475598635745,0.5110719399847748,0.0647963842493007
midpoint,20,,40,0.007297830656170845,0.013615112525308611,0.5399869718423923,0.06499173501823213
midpoint,50,,100,0.017270298674702644,0.013607568077627521,0.5371642589955966,0.06504572710926317
dopri5,adaptive,0.001,26,2.9682958982884884,0.01359313466764449,0.5479398233666406,0.0
dopri5,adaptive,1e-05,44,0.021437078714370728,0.013605901020634477,0.5339930842320209,0.0
